hourlydate,csr_dni,csr_ghi,direction,dni,ghi,sd,solar_azimuth,solar_zenith,speed,t,tcc,td,tp
01/01/2022 01:00,0,0,266.2402276,0,0,0.024668694,48.44620561,148.6304878,2.679518816,0.078744507,1,-0.139898682,0.505447388
01/01/2022 02:00,0,0,258.7321454,0,0,0.025216103,67.15194689,140.000565,4.001415418,0.280770874,1,-0.008566284,0.727653503
01/01/2022 03:00,0,0,256.0434543,0,0,0.026370049,81.03544784,130.1976111,5.698908054,-0.02991333,1,-0.608053589,0.468730927
01/01/2022 04:00,0,0,254.1295939,0,0,0.026312828,92.4814752,120.0178767,7.257597156,-0.812796021,0.982391357,-1.78772583,0.165939331
01/01/2022 05:00,0,0,255.5481048,0,0,0.026279449,102.8699054,109.9096544,8.2194339,-1.632727051,0.972839355,-3.014028931,0.036239624
01/01/2022 06:00,0,0,260.2039744,0,0,0.026490211,113.0395335,100.2038417,8.610297161,-2.465093994,0.980651855,-4.143789673,0.008106232
01/01/2022 07:00,0.23004152,7.647574112,263.584653,0,0,0.026713371,123.5693767,91.21851307,9.168374034,-3.128790283,0.899230957,-4.922186279,0.013828278
01/01/2022 08:00,26.57322283,72.63085354,263.5123358,0.32,3.697777778,0.026885033,134.8908643,83.31077287,9.564790997,-3.599188232,0.952575684,-5.467779541,0.00667572
01/01/2022 09:00,101.888494,174.2858778,266.2588122,3.253333333,27.76888889,0.026956558,147.2874234,76.89600651,9.251435051,-3.436483765,0.624328613,-5.908407593,0.002861023
01/01/2022 10:00,170.2321169,254.8095771,265.7433959,15.37777778,63.23555556,0.026611328,160.8109114,72.42431599,8.927273591,-3.333837891,0.340179443,-6.652410889,0.001430511
01/01/2022 11:00,204.685125,294.0313201,273.7189361,48.42666667,93.68888889,0.026824951,175.1785372,70.2964511,8.596257207,-3.577505493,0.112487793,-7.070562744,0
01/01/2022 12:00,197.5134508,285.9172112,283.5625482,46.63111111,83.23555556,0.02699852,189.7849214,70.73549771,8.82557334,-4.071295166,0.056793213,-7.419515991,0
01/01/2022 13:00,150.1444438,231.6053737,286.5411455,19.25333333,40.17777778,0.027184486,203.921831,73.69345549,8.813105213,-4.479284668,0.040008545,-7.454702759,0
01/01/2022 14:00,74.72759149,140.3913014,290.8998126,0.64,2.471111111,0.027277946,217.0788774,78.87263926,9.111346541,-4.908987427,0.059661865,-7.472692871,0
01/01/2022 15:00,10.60264877,43.4944037,289.8993032,0,0,0.027479172,229.094426,85.84229507,8.871055506,-5.174841309,0.041290283,-7.522039795,0
01/01/2022 16:00,0.000329091,0.997357485,291.269667,0,0,0.027575493,240.1117759,94.15777471,8.492955144,-5.557546997,0.081390381,-7.788320923,0
01/01/2022 17:00,0,0,293.7550246,0,0,0.027630806,250.4708046,103.4231444,8.126579637,-5.643026733,0.027160645,-7.857489014,0
01/01/2022 18:00,0,0,298.9539634,0,0,0.027669907,260.6487482,113.2979396,7.556667835,-6.123556519,0.015594482,-8.239584351,0
01/01/2022 19:00,0,0,302.5511479,0,0,0.027744293,271.2943275,123.4667301,7.015127889,-6.560400391,0.021850586,-8.662893677,0
01/01/2022 20:00,0,0,306.2772853,0,0,0.027820587,283.3886556,133.5735202,6.292145641,-7.011282349,0.015289307,-9.163961792,0
01/01/2022 21:00,0,0,317.7102936,0,0,0.027814865,298.5982161,143.0855667,6.014081562,-7.832098389,0.161804199,-9.864736938,0
