iter	Passed	Remaining
0	6	3159
1	11	2922
2	17	2944
3	22	2841
4	27	2724
5	32	2664
6	37	2639
7	42	2586
8	47	2568
9	51	2525
10	56	2491
11	62	2527
12	66	2501
13	71	2480
14	77	2510
15	82	2484
16	86	2467
17	91	2455
18	96	2455
19	102	2454
20	106	2439
21	112	2435
22	116	2417
23	121	2405
24	126	2406
25	131	2404
26	136	2390
27	141	2380
28	145	2370
29	151	2367
30	157	2378
31	161	2363
32	166	2361
33	171	2348
34	175	2335
35	180	2327
36	187	2348
37	192	2346
38	197	2334
39	201	2322
40	206	2315
41	211	2305
42	215	2295
43	220	2288
44	226	2291
45	230	2279
46	235	2270
47	240	2261
48	245	2260
49	252	2270
50	258	2275
51	263	2268
52	269	2268
53	274	2263
54	278	2254
55	283	2246
56	288	2245
57	293	2238
58	298	2227
59	302	2218
60	307	2211
61	311	2201
62	316	2196
63	322	2196
64	327	2189
65	331	2180
66	336	2175
67	342	2173
68	346	2164
69	353	2168
70	357	2160
71	361	2151
72	366	2143
73	371	2136
74	375	2127
75	379	2118
76	384	2111
77	388	2103
78	393	2096
79	397	2088
80	403	2085
81	407	2079
82	413	2079
83	418	2073
84	423	2065
85	427	2058
86	431	2050
87	436	2043
88	442	2042
89	449	2045
90	453	2039
91	459	2037
92	464	2032
93	469	2026
94	473	2018
95	478	2012
96	483	2008
97	488	2002
98	493	2000
99	498	1994
100	502	1986
101	507	1981
102	512	1975
103	517	1971
104	523	1968
105	527	1961
106	532	1955
107	536	1948
108	541	1943
109	548	1944
110	554	1942
111	561	1944
112	566	1939
113	570	1933
114	575	1926
115	580	1921
116	586	1918
117	590	1911
118	594	1904
119	599	1898
120	604	1891
121	608	1884
122	612	1877
123	617	1872
124	622	1867
125	627	1861
126	632	1856
127	636	1850
128	643	1850
129	648	1845
130	653	1840
131	659	1837
132	663	1831
133	668	1827
134	674	1824
135	680	1821
136	685	1815
137	690	1810
138	695	1805
139	699	1798
140	705	1796
141	710	1790
142	714	1783
143	719	1779
144	731	1791
145	740	1794
146	745	1790
147	750	1785
148	757	1784
149	763	1780
150	767	1774
151	772	1768
152	777	1763
153	782	1758
154	787	1753
155	792	1747
156	799	1745
157	804	1740
158	809	1736
159	814	1730
160	819	1725
161	826	1724
162	831	1718
163	836	1713
164	841	1708
165	846	1702
166	850	1696
167	855	1690
168	859	1684
169	864	1677
170	869	1672
171	873	1665
172	878	1660
173	882	1653
174	887	1648
175	893	1644
176	898	1639
177	902	1633
178	907	1628
179	913	1623
180	918	1618
181	923	1613
182	928	1608
183	933	1602
184	937	1597
185	942	1591
186	948	1587
187	954	1584
188	959	1578
189	964	1572
190	968	1567
191	974	1562
192	978	1556
193	983	1550
194	988	1545
195	993	1540
196	999	1536
197	1003	1531
198	1009	1526
199	1013	1520
200	1018	1515
201	1023	1509
202	1029	1505
203	1033	1500
204	1038	1494
205	1043	1489
206	1048	1483
207	1052	1477
208	1057	1472
209	1063	1468
210	1068	1463
211	1073	1457
212	1077	1451
213	1082	1446
214	1088	1443
215	1093	1437
216	1097	1431
217	1102	1425
218	1106	1420
219	1111	1414
220	1115	1408
221	1120	1403
222	1125	1397
223	1131	1394
224	1136	1388
225	1140	1383
226	1145	1377
227	1150	1372
228	1154	1366
229	1159	1360
230	1164	1355
231	1168	1350
232	1173	1344
233	1178	1339
234	1182	1333
235	1189	1330
236	1196	1328
237	1202	1323
238	1207	1318
239	1211	1312
240	1216	1307
241	1222	1303
242	1226	1297
243	1232	1293
244	1237	1287
245	1241	1281
246	1246	1277
247	1251	1272
248	1257	1267
249	1262	1262
250	1267	1257
251	1272	1251
252	1276	1246
253	1282	1241
254	1287	1237
255	1292	1231
256	1296	1226
257	1301	1220
258	1305	1215
259	1310	1209
260	1315	1204
261	1319	1198
262	1324	1193
263	1329	1188
264	1336	1184
265	1341	1179
266	1345	1174
267	1350	1169
268	1355	1163
269	1360	1158
270	1365	1153
271	1372	1150
272	1377	1145
273	1382	1140
274	1387	1134
275	1392	1130
276	1397	1125
277	1402	1119
278	1407	1114
279	1412	1109
280	1416	1104
281	1422	1099
282	1427	1094
283	1432	1089
284	1436	1083
285	1441	1078
286	1446	1073
287	1450	1068
288	1455	1062
289	1459	1057
290	1464	1051
291	1470	1047
292	1474	1042
293	1480	1037
294	1485	1031
295	1489	1026
296	1494	1021
297	1499	1016
298	1504	1011
299	1509	1006
300	1514	1001
301	1520	996
302	1526	992
303	1530	986
304	1536	982
305	1543	978
306	1549	974
307	1554	969
308	1560	964
309	1565	959
310	1571	954
311	1576	949
312	1580	944
313	1585	939
314	1590	934
315	1597	929
316	1601	924
317	1607	919
318	1612	914
319	1617	909
320	1621	904
321	1626	899
322	1633	895
323	1638	890
324	1643	884
325	1648	879
326	1652	874
327	1658	869
328	1665	865
329	1672	861
330	1679	857
331	1685	852
332	1691	848
333	1696	843
334	1701	837
335	1706	833
336	1712	828
337	1717	823
338	1722	818
339	1727	812
340	1732	807
341	1737	802
342	1744	798
343	1749	793
344	1754	788
345	1759	783
346	1764	778
347	1769	772
348	1775	768
349	1780	763
350	1785	757
351	1790	752
352	1795	747
353	1799	742
354	1804	737
355	1810	732
356	1814	726
357	1819	721
358	1824	716
359	1831	712
360	1836	707
361	1841	701
362	1847	697
363	1852	692
364	1856	686
365	1861	681
366	1866	676
367	1872	671
368	1877	666
369	1883	661
370	1887	656
371	1892	651
372	1896	645
373	1901	640
374	1906	635
375	1912	630
376	1918	625
377	1922	620
378	1927	615
379	1932	610
380	1937	605
381	1941	599
382	1947	594
383	1951	589
384	1956	584
385	1960	579
386	1966	574
387	1971	569
388	1977	564
389	1982	559
390	1986	553
391	1991	548
392	1995	543
393	2000	538
394	2005	533
395	2010	527
396	2014	522
397	2020	517
398	2025	512
399	2030	507
400	2034	502
401	2039	497
402	2045	492
403	2049	487
404	2054	481
405	2058	476
406	2063	471
407	2068	466
408	2073	461
409	2078	456
410	2082	451
411	2087	445
412	2091	440
413	2096	435
414	2101	430
415	2105	425
416	2111	420
417	2116	415
418	2120	410
419	2125	404
420	2130	399
421	2135	394
422	2140	389
423	2145	384
424	2151	379
425	2157	374
426	2161	369
427	2166	364
428	2173	359
429	2177	354
430	2182	349
431	2187	344
432	2192	339
433	2198	334
434	2202	329
435	2207	324
436	2212	318
437	2218	313
438	2224	309
439	2228	303
440	2234	298
441	2239	293
442	2243	288
443	2248	283
444	2255	278
445	2260	273
446	2265	268
447	2269	263
448	2274	258
449	2278	253
450	2283	248
451	2288	243
452	2293	237
453	2298	232
454	2304	227
455	2309	222
456	2314	217
457	2319	212
458	2324	207
459	2329	202
460	2335	197
461	2341	192
462	2346	187
463	2351	182
464	2356	177
465	2361	172
466	2366	167
467	2371	162
468	2375	157
469	2380	151
470	2385	146
471	2389	141
472	2395	136
473	2400	131
474	2406	126
475	2411	121
476	2416	116
477	2421	111
478	2426	106
479	2430	101
480	2435	96
481	2440	91
482	2445	86
483	2451	81
484	2455	75
485	2460	70
486	2465	65
487	2469	60
488	2474	55
489	2480	50
490	2486	45
491	2491	40
492	2498	35
493	2503	30
494	2508	25
495	2514	20
496	2518	15
497	2523	10
498	2528	5
499	2533	0
